Energy (eV),Re(alpha) (a.u.),Im(alpha) (a.u.),abs(alpha) (a.u.)
70.53906516547254,-168.15038750215228,0.018992204244251028,168.15038857471544
70.03726287262873,-158.00455200966627,0.019822739179469143,158.00455325311458
69.53865126969002,-147.94754465550756,0.020722229471540832,147.94754610673402
69.03556124436531,-133.8360853589306,0.02203523078831522,133.83608717290846
68.53591160220995,-126.32439586547773,0.02293490847043406,126.32439794745888
68.03597871990347,-119.56185306083529,0.02383455253730352,119.56185543653403
67.53593205574911,-109.62597165424864,0.02521748346746056,109.62597455466292
67.03593623345043,-101.16675612314596,0.0265308556406929,101.16675960198779
66.53615104054923,-93.79248591620527,0.027913782428397156,93.79249006994543
66.03673143465531,-87.69835186088278,0.02922737993162596,87.69835673121213
65.5343652596545,-81.5622468346312,0.030678712379108325,81.56225260435552
65.0361748977666,-74.6089300739044,0.03247498852038088,74.6089371415894
64.53542815523879,-70.28488476571567,0.03385644049333436,70.28489292008983
64.0324162494193,-64.6265053811171,0.035720948843497226,64.62651525311993
63.533930857874516,-59.76885646660723,0.03758489726684825,59.76886828400216
63.03353658536586,-55.5158714531026,0.03951675777675218,55.51588551731439
62.53465745828502,-50.58084905619381,0.04186333966349484,50.58086638032874
62.03430514577187,-46.53740705909467,0.044208178866828554,46.53742805685498
61.532738095238095,-43.71710910494993,0.04620541842032567,43.717133522622305
61.03321033210333,-40.336259425600495,0.048618416402154065,40.33628872615524
60.532864880690965,-36.8272647248271,0.051513172485249545,36.82730075255902
60.03193960511034,-34.34831679037886,0.05399073196558242,34.3483592232782
59.530665131010664,-31.61951799815999,0.056951665426401184,31.619569287518107
59.0320738555249,-29.29300941372592,0.05997662663329455,29.293070813903714
58.53071624044541,-27.218018756809517,0.06293420804645047,27.21809151576534
58.02965804369182,-25.391824268882317,0.06602315982140991,25.391910104587126
57.53176885261107,-23.476438371865115,0.06966003942179934,23.476541720387033
57.02923869069512,-22.046878895421305,0.07281114660968846,22.046999126693954
56.530258840685384,-20.267535345340637,0.07699766238480239,20.26768160433365
56.02981029810299,-18.980556294970214,0.08082093403154472,18.980728365632103
55.5306862437889,-17.393749662721984,0.08568801186433846,17.393960726781533
55.028168389300454,-16.074480124236583,0.09060787252389418,16.07473548930247
54.52986944481076,-14.62358738207651,0.0966339853074645,14.623906661639484
54.02874564459932,-13.229885817967592,0.10329127460765655,13.23028903100269
53.52750809061489,-11.83269301272622,0.1109448824323183,11.83321311818383
53.02868379429744,-10.479173096746106,0.1198079958360701,10.47985795454469
52.52794715447155,-9.130835615489397,0.13009230780687303,9.131762318722501
52.027848844524605,-7.81936362908468,0.1418129816141874,7.820649492568162
51.52647975077882,-6.656445745865002,0.15437421912270136,6.658235604660894
51.02628439800913,-5.581860258580965,0.16769377772759775,5.584378671742642
50.52747342267118,-4.728576603140601,0.1798121717162957,4.731994200003423
50.026212848328434,-4.080020657614711,0.18958637699786274,4.084423038925566
49.526889447838066,-3.6163917854404994,0.19625885566059176,3.6217132802344705
49.02580721653559,-3.38294519196834,0.19881803020247119,3.388782492429294
48.52526991081208,-3.2852653358831496,0.20003273646818145,3.291349483542332
48.02555168408827,-3.329390125765115,0.2012859776078056,3.3354691805387406
47.52509386253928,-3.3297371669160585,0.2093375795444352,3.336311110036308
47.02426080363912,-2.68881609358043,0.24706300152812738,2.7001429798848084
46.52514720774107,-1.1027004377607423,0.2599861524595962,1.1329347090227562
46.02456127332765,-2.3640473642071576,0.2087954199928486,2.373249980011545
45.52460640757459,-2.6200265993859353,0.21775428067765046,2.6290599666502987
45.023954703832764,-2.449035131490572,0.23514583737334618,2.460298079523913
44.52300624506496,-2.1259651996887143,0.25539759674647267,2.14125102748635
44.023706437646396,-1.7818056442895702,0.2754988168973839,1.8029783559804673
43.52326152550698,-1.4793649878241193,0.2922942053424031,1.5079644126028318
43.02212665603108,-1.2584129549448215,0.3041826241391132,1.2946544844093015
42.5221951804751,-1.1202562046744764,0.3118565703528552,1.1628535955071506
42.022357723577244,-1.0253140423758857,0.320911447878382,1.0743616908995681
41.52162270718972,-0.9260126986203299,0.33674065322720703,0.9853394265642637
41.021825396825406,-0.7681926622485644,0.36359181288680403,0.8498935067000157
40.52200045732206,-0.5310361939477785,0.3997443983563338,0.6646766306256072
40.02129307007357,-0.263336165564901,0.42954672878681366,0.5038415706408885
39.52147317446158,-0.03004326073150682,0.42945138941253985,0.4305009795386559
39.02047749363028,0.1361998572953033,0.39525232220167056,0.41806076033643025
38.52005961992299,0.2202251335914329,0.35394832095124557,0.41686751296973285
38.020657737456716,0.2096831415829615,0.33384918859068835,0.3942363511737106
37.52041618776843,0.1963031496595404,0.34773319765801847,0.39931604440558915
37.019905100122365,0.349237322141136,0.36581255376699084,0.50575244109133
36.51966556759303,0.6913218495155214,0.3095690234771705,0.7574687319712743
36.01916376306621,1.2312828032840208,0.2249899500364254,1.2516700121359263
35.51896921975663,1.615737871142954,0.17612868379805294,1.6253092571883048
35.018631436314365,1.0020419787129424,0.18365902524582978,1.018733902772062
34.518741130311376,2.1259404032978853,0.16267237118172453,2.132154989375833
34.017989359951734,3.5635576601687973,0.10421876726262719,3.5650813102645293
33.517968116725214,2.782629365181444,0.09319487976724353,2.784189553458047
33.017486891485454,1.4713692079431782,0.08867096249953682,1.4740386309978208
32.51723505203282,-0.057908788658547664,0.0867754436456457,0.10432356121125741
32.017034456058845,-1.6400101403113416,0.08645229409676829,1.642287203712743
31.51676829268293,-3.160678057357853,0.08792387277164607,3.161900755821817
31.016377047130895,-4.553590881020774,0.09021886673282475,4.554484532373571
30.51585446852476,-5.734528206573198,0.09364310681093062,5.735292737379393
30.01596980255517,-6.633113372544032,0.09835087699873443,6.633842469340742
29.515334649884604,-7.220921780190822,0.10441731368047201,7.2216766980411435
29.015507683671323,-7.6575654348776565,0.11140645750875451,7.658375793091358
28.51527480863389,-7.7926424796628675,0.12006539363486651,7.793567380512915
28.014905149051494,-7.665048774695416,0.1305900427604688,7.6661611304307895
27.514694466008653,-7.397149760501564,0.14286018564014943,7.398529151928069
27.01437282229966,-7.033406413672122,0.15704009729323895,7.035159370763537
26.51434189714872,-6.538160655631283,0.17359212450229625,6.540464737656959
26.013924422262303,-5.937116258800116,0.1935752955355779,5.940271110441877
25.51366693404085,-5.35098949466163,0.21600681245016168,5.355347562484064
25.013106424164217,-4.739843237030648,0.24215487751454845,4.7460249574069096
24.512903608267795,-4.157231270203982,0.27173401530105545,4.166102640242251
24.012775842044135,-3.617386773037964,0.3046504378995278,3.630192688420601
23.512576053374783,-3.1216080944589417,0.34106664463952424,3.1401852734316886
23.012280636663824,-2.67731143678289,0.380848771478125,2.704263729051747
22.511977351916382,-2.309936172336798,0.42210324914821246,2.3481857407819033
22.011853218823198,-1.9968354202591805,0.465681072478975,2.050417166546073
21.511436350078903,-1.733060512511819,0.5114322693384308,1.8069481747267646
21.011178861788622,-1.5047034497170777,0.5604627451224644,1.6056932958260375
20.510912698412703,-1.311103489564811,0.6145322496215725,1.4479786760080327
20.010646535036784,-1.1322410069088218,0.676824639202193,1.319113827520992
19.51023874681514,-0.953780438662905,0.7497770281154693,1.2132034936751825
19.010037545015713,-0.7774853522773247,0.8339086578621371,1.1401259240378787
18.509952550061183,-0.6006647837742976,0.9303582058183036,1.1074134609982291
18.009581881533105,-0.4228419792162429,1.0323576237188214,1.1155974196088305
17.509315718157183,-0.2550664687340706,1.130505930545477,1.158923018354094
17.008994679975867,-0.10411223295916902,1.205740369155478,1.2102269187482704
16.508743445742727,0.02264134071963742,1.2456881044062287,1.2458938493181375
16.008517228029422,0.12374713680546431,1.239872775257183,1.246032845751467
15.508188523565448,0.1980442085256681,1.197505929504494,1.2137717906299275
15.007984901277585,0.24992643937559783,1.1321759515362553,1.1594333143117759
14.507753841835662,0.28303948351996505,1.0621083543122158,1.099174920352103
14.007452574525747,0.3032173260409089,1.0015258764656751,1.0464200055626505
13.50718641114983,0.3145835047478767,0.961163666683664,1.0113349472910758
13.006962211131151,0.3236540812992683,0.9470980871143488,1.0008729944190382
12.506679302731207,0.3468903727783099,0.9416280360688098,1.0034920473212923
12.006387921022068,0.3939690601863766,0.8064738693339034,0.8975587570195808
11.506140318331912,0.4099632041127388,0.634068377761258,0.7550579689025052
11.005828963828485,0.321149380697347,0.7012156582962311,0.7712589216094076
10.505589430894311,0.21755266647029073,0.8613426721160039,0.8883920089106336
10.005323267518392,0.1768947174172099,1.086816861154085,1.1011188086391641
9.505018772507857,0.22524185677385403,1.3603336756282607,1.378855178432901
9.004790940766553,0.3696242852911577,1.5609173282174011,1.6040838562264597
8.504497339987934,0.5883459536040538,1.4988391975268287,1.6101769782123738
8.004258614014711,0.8307786597912367,1.2051842307683054,1.4637835262282177
7.503992450638792,1.0428736327371138,0.8939416243262136,1.373578189096381
7.003726287262873,1.1930284512071965,0.6657806248010465,1.3662286506109853
6.503447010406565,1.2911055545104653,0.5145108064774703,1.3898470861464842
6.003193960511034,1.3934936294034723,0.4101777288443557,1.4526080904455874
5.502914481914242,1.6108886573810677,0.3234792219035626,1.6430462785577018
5.002661633759196,2.1620688796971006,0.23347159095511372,2.1746380904274134
4.752527593776699,2.6964908025300343,0.18678156478303687,2.7029520900437483
4.502395470383276,3.529194562541728,0.1427018879441702,3.5320784375629213
4.252248669993967,4.791018233939415,0.10466621225991085,4.792161384378534
4.002129307007356,6.631890732635405,0.07458284292988561,6.632310102074154
3.751984877126654,9.166825559360861,0.05239339265451773,9.16697528650238
3.501853258092655,12.359045460879376,0.03684872365708154,12.359100393334389
3.2517235052032825,15.904465829556294,0.026277979344053973,15.904487538293152
3.0015897174077684,19.15158299236767,0.019192139300659803,19.151592608756
2.751457240957121,21.204826320691463,0.014463451290017536,21.204831253327924
2.501325773233294,21.29278254434241,0.011289111359699108,21.292785537000274
2.251193649837308,19.15487365142071,0.009140971083920865,19.154875832519608
2.0010614255687416,15.172877324960284,0.0076917939620954395,15.17287927461325
1.7509291004275345,10.291040617534184,0.006752813793296603,10.291042833077341
1.5007966744136245,5.6338918694182745,0.006284864318155978,5.633895374944128
1.250662886616647,2.2607618806723324,0.006502695450115783,2.260771232599446
1.0005307127843708,0.7945966122858797,0.00851456176940906,0.794642230200687
0.7503978832791027,1.1753343549496893,0.009123940122944011,1.1753697682892688
0.5002653563921854,22.08744715677148,0.0007941440658155031,22.087447171048023
